Dchg/Chg Cycle,BC,Vact,Discharge Current,Charge Current,Chg/Dchg Cycle,Ah,Tavg
1,35,3.44,20.066,0.01,10,0.011147778,34.22244721
1,35,3.41,20.075,0.01,10,0.022300556,34.22622567
1,35,3.38,20.053,0.01,10,0.033441111,34.22291448
1,35,3.36,20.078,0.01,10,0.044595556,34.22859344
1,35,3.34,20.041,0.02,10,0.055729444,34.21805115
1,35,3.33,20.071,0.02,10,0.06688,34.22366943
1,35,3.32,20.064,0.01,10,0.078026667,34.22106742
1,35,3.31,20.08,0.01,10,0.089182222,34.21495362
1,35,3.3,19.959,0.01,10,0.100270556,34.2220928
1,35,3.29,20.016,0.02,10,0.116950556,34.22158891
1,35,3.28,19.97,0.01,10,0.128045,34.22817382
1,35,3.27,20.039,0.01,10,0.139177778,34.22698097
1,35,3.26,20.073,0.01,10,0.150329444,34.22889062
1,35,3.26,20.025,0.02,10,0.167016944,34.22890244
1,35,3.26,20.071,0.02,10,0.1781675,34.23246955
1,35,3.25,20.059,0.01,10,0.189311389,34.23436852
1,35,3.25,19.961,0.01,10,0.200400833,34.23573532
1,35,3.24,20.014,0.02,10,0.211519722,34.23488998
1,35,3.24,20.027,0.01,10,0.222645833,34.2423668
1,35,3.23,19.988,0.01,10,0.2393025,34.23568421
1,35,3.23,20.082,0.02,10,0.250459167,34.24105187
1,35,3.23,20.018,0.02,10,0.261580278,34.24304427
1,35,3.23,20.036,0.01,10,0.272711389,34.24606782
1,35,3.22,20.055,0.01,10,0.283853056,34.24200898
1,35,3.22,20.027,0.02,10,0.294979167,34.25049361
1,35,3.22,19.968,0.01,10,0.3060725,34.24620399
1,35,3.21,20.048,0.01,10,0.317210278,34.24709282
1,35,3.21,20.066,0.01,10,0.328358056,34.25178796
1,35,3.21,20.041,0.01,10,0.339491944,34.2575367
1,35,3.21,20.064,0.02,10,0.350638611,34.25188599
1,35,3.21,20.011,0.02,10,0.367314444,34.25948296
1,35,3.21,20.039,0.02,10,0.378447222,34.25974388
1,35,3.2,20.034,0.02,10,0.389577222,34.25913964
1,35,3.2,20.075,0.02,10,0.40073,34.25629081
1,35,3.2,20.05,0.02,10,0.411868889,34.26395151
1,35,3.2,20.023,0.02,10,0.422992778,34.2623558
1,35,3.2,20.091,0.01,10,0.434154444,34.27226678
1,35,3.2,20.023,0.01,10,0.445278333,34.26551401
1,35,3.2,19.998,0.01,10,0.456388333,34.26985742
1,35,3.19,20.039,0.02,10,0.467521111,34.26420897
1,35,3.19,20.046,0.02,10,0.484226111,34.26145094
1,35,3.19,20.036,0.02,10,0.495357222,34.26618041
1,35,3.19,20.091,0.02,10,0.506518889,34.26673812
1,35,3.19,20.016,0.01,10,0.517638889,34.27069281
1,35,3.19,20.108,0.02,10,0.52881,34.26504516
1,35,3.19,19.984,0.02,10,0.539912222,34.27246093
1,35,3.19,20.03,0.02,10,0.55104,34.27631379
1,35,3.19,20.036,0.02,10,0.562171111,34.27497825
1,35,3.19,20.039,0.02,10,0.573303889,34.28314934
1,35,3.19,20.004,0.02,10,0.584417222,34.28198358
1,35,3.19,20,0.01,10,0.601083889,34.28327292
1,35,3.19,20.078,0.02,10,0.612238333,34.28260307
1,35,3.19,20.025,0.02,10,0.623363333,34.28605079
1,35,3.19,20.036,0.02,10,0.634494444,34.28535806
1,35,3.19,20.007,0.01,10,0.645609444,34.2881588
1,35,3.19,20.069,0.01,10,0.656758889,34.28885804
1,35,3.19,20.007,0.01,10,0.667873889,34.28866693
1,35,3.19,20.062,0.02,10,0.679019444,34.28437959
1,35,3.19,20.064,0.01,10,0.690166111,34.28666344
1,35,3.18,20.055,0.01,10,0.701307778,34.28081169
1,35,3.18,19.947,0.02,10,0.712389444,34.29206809
1,35,3.18,19.995,0.02,10,0.729051944,34.28237342
1,35,3.19,20.071,0.01,10,0.7402025,34.28889161
1,35,3.18,20.043,0.02,10,0.7513375,34.2971386
1,35,3.18,20.032,0.02,10,0.762466389,34.29264298
1,35,3.18,20.011,0.02,10,0.773583611,34.29216118
1,35,3.18,20.004,0.01,10,0.784696944,34.293079
1,35,3.18,20.018,0.01,10,0.795818056,34.2983784
1,35,3.18,20.036,0.02,10,0.806949167,34.29851036
1,35,3.18,19.979,0.01,10,0.818048611,34.30080147
1,35,3.18,20.048,0.01,10,0.829186389,34.30277406
1,35,3.19,20.089,0.01,10,0.840346944,34.31062509
1,35,3.18,19.984,0.02,10,0.857000278,34.31228562
1,35,3.18,20.064,0.01,10,0.868146944,34.31349831
1,35,3.18,20.02,0.01,10,0.879269167,34.31399345
1,35,3.18,20.039,0.02,10,0.890401944,34.31594507
1,35,3.18,19.947,0.02,10,0.901483611,34.31932946
1,35,3.18,20.039,0.01,10,0.912616389,34.32472839
1,35,3.18,20.009,0.02,10,0.9237325,34.32713165
1,35,3.18,20.059,0.01,10,0.934876389,34.32305069
1,35,3.18,20.112,0.01,10,0.946049722,34.32109641
1,35,3.18,20.025,0.01,10,0.957174722,34.32414969
1,35,3.18,20.059,0.02,10,0.968318611,34.32518005
1,35,3.18,20.002,0.01,10,0.984986944,34.32712326
1,35,3.18,20.085,0.02,10,0.996145278,34.32928199
1,35,3.18,19.975,0.02,10,1.0072425,34.33600693
1,35,3.18,20.032,0.01,10,1.018371389,34.33145562
1,35,3.18,20.002,0.02,10,1.029483611,34.32697412
1,35,3.18,20.03,0.01,10,1.040611389,34.32983207
1,35,3.18,20.004,0.01,10,1.051724722,34.33828239
1,35,3.18,20.039,0.01,10,1.0628575,34.33873253
1,35,3.18,20.016,0.02,10,1.0739775,34.33899879
1,35,3.18,19.991,0.02,10,1.085083611,34.34985466
1,35,3.18,20.046,0.02,10,1.101788611,34.35166055
1,35,3.18,20.016,0.01,10,1.112908611,34.35205231
1,35,3.18,20.007,0.01,10,1.124023611,34.34938394
1,35,3.18,20.007,0.01,10,1.135138611,34.35402336
1,35,3.18,20.036,0.02,10,1.146269722,34.35485727
1,35,3.18,20.025,0.01,10,1.157394722,34.35476722
1,35,3.18,19.998,0.01,10,1.168504722,34.34807357
1,35,3.18,20,0.02,10,1.179615833,34.35784568
1,35,3.18,20.048,0.02,10,1.190753611,34.36381301
1,35,3.18,20.089,0.02,10,1.201914167,34.36395684
1,35,3.18,20.055,0.02,10,1.213055833,34.36477202
1,35,3.18,20.105,0.01,10,1.22981,34.37085038
1,35,3.18,20.02,0.02,10,1.240932222,34.36478464
1,35,3.18,20.05,0.02,10,1.252071111,34.37057953
1,35,3.18,20.002,0.01,10,1.263183333,34.37208174
1,35,3.18,20.089,0.01,10,1.274343889,34.36862716
1,35,3.18,20.002,0.01,10,1.285456111,34.37612456
1,35,3.18,20.036,0.02,10,1.296587222,34.37472801
1,35,3.18,19.991,0.02,10,1.307693333,34.37654763
1,35,3.18,20.034,0.02,10,1.318823333,34.38285597
1,35,3.18,20.016,0.01,10,1.329943333,34.37987556
1,35,3.18,19.986,0.02,10,1.341046667,34.37613715
1,35,3.18,20.078,0.02,10,1.357778333,34.38482437
1,35,3.18,20.069,0.01,10,1.368927778,34.38581847
1,35,3.18,20.057,0.01,10,1.380070556,34.39331817
1,35,3.18,19.981,0.01,10,1.391171111,34.39531783
1,35,3.18,20.091,0.02,10,1.402332778,34.39202156
1,35,3.18,20.025,0.02,10,1.413457778,34.39787217
1,35,3.18,20.071,0.02,10,1.424608333,34.40252151
1,35,3.18,19.949,0.02,10,1.435691111,34.39637185
1,35,3.18,20.053,0.02,10,1.446831667,34.4028942
1,35,3.18,20.02,0.02,10,1.457953889,34.40714455
1,35,3.18,20.016,0.02,10,1.469073889,34.40328826
1,35,3.18,19.986,0.01,10,1.480177222,34.40921515
1,35,3.18,20.03,0.02,10,1.496868889,34.40683822
1,35,3.18,20.057,0.02,10,1.508011667,34.41200066
1,35,3.18,19.975,0.01,10,1.519108889,34.41431884
1,35,3.18,20.014,0.01,10,1.530227778,34.42428283
1,35,3.18,20.007,0.01,10,1.541342778,34.41915017
1,35,3.18,20.007,0.02,10,1.552457778,34.41444893
1,35,3.18,19.965,0.02,10,1.563549444,34.42700882
1,35,3.18,19.995,0.01,10,1.574657778,34.42432403
1,35,3.18,19.981,0.01,10,1.585758333,34.42787132
1,35,3.18,19.991,0.02,10,1.6024175,34.42394638
1,35,3.18,20.018,0.01,10,1.613538611,34.42991297
1,35,3.18,19.97,0.01,10,1.624633056,34.42911262
1,35,3.18,20.057,0.02,10,1.635775833,34.44070052
1,35,3.18,20.011,0.01,10,1.646893056,34.4325775
1,35,3.18,20.014,0.02,10,1.658011944,34.43517494
1,35,3.18,19.972,0.01,10,1.6691075,34.43837128
1,35,3.18,20.08,0.02,10,1.680263056,34.43762705
1,35,3.18,20.007,0.01,10,1.691378056,34.43804702
1,35,3.18,20.08,0.01,10,1.702533611,34.43621406
1,35,3.17,20.112,0.02,10,1.713706944,34.43913345
1,35,3.17,20.03,0.01,10,1.730398611,34.44156496
1,35,3.18,20.091,0.01,10,1.741560278,34.45200766
1,35,3.18,20.034,0.01,10,1.752690278,34.45112839
1,35,3.17,20.062,0.02,10,1.763835833,34.44874916
1,35,3.18,20.004,0.01,10,1.774949167,34.45444565
1,35,3.18,20.002,0.02,10,1.786061389,34.45358238
1,35,3.18,20.02,0.02,10,1.797183611,34.45448036
1,35,3.18,20.027,0.02,10,1.808309722,34.45487176
1,35,3.18,20.036,0.01,10,1.819440833,34.46084023
1,35,3.18,20.053,0.01,10,1.830581389,34.46194801
1,35,3.18,19.998,0.01,10,1.841691389,34.45846176
1,35,3.18,20.089,0.02,10,1.858432222,34.47115555
1,35,3.17,20.073,0.02,10,1.875159722,34.4674595
1,35,3.18,20.023,0.01,10,1.886283611,34.46590614
1,35,3.18,20.103,0.02,10,1.897451944,34.4691986
1,35,3.17,19.995,0.02,10,1.908560278,34.46601678
1,35,3.18,20.059,0.02,10,1.919704167,34.46400337
1,35,3.18,19.993,0.01,10,1.930811389,34.46769257
1,35,3.17,20.055,0.02,10,1.941953056,34.46905365
1,35,3.17,19.981,0.01,10,1.953053611,34.46567496
1,35,3.17,20.055,0.01,10,1.964195278,34.46914483
1,35,3.18,20.011,0.01,10,1.9753125,34.4727375
1,35,3.17,20.048,0.02,10,1.986450278,34.47254754
1,35,3.17,20.059,0.01,10,2.003166111,34.48541488
1,35,3.17,20.016,0.02,10,2.014286111,34.47523156
1,35,3.17,20.032,0.02,10,2.025415,34.48060263
1,35,3.17,20.014,0.01,10,2.036533889,34.4719448
1,35,3.17,20.094,0.02,10,2.047697222,34.47886887
1,35,3.17,20.059,0.01,10,2.058841111,34.48547475
1,35,3.17,20.062,0.01,10,2.069986667,34.48439408
1,35,3.18,19.959,0.01,10,2.081075,34.48864899
1,35,3.17,20.053,0.01,10,2.092215556,34.48200914
1,35,3.17,20.016,0.01,10,2.103335556,34.48169517
1,35,3.17,20.043,0.02,10,2.114470556,34.48923683
1,35,3.17,20.082,0.01,10,2.131205556,34.4829483
1,35,3.17,20.053,0.01,10,2.142346111,34.49171524
1,35,3.17,20.041,0.01,10,2.15348,34.48877831
1,35,3.17,19.972,0.01,10,2.164575556,34.49479295
1,35,3.17,20.073,0.02,10,2.175727222,34.49155845
1,35,3.17,20.073,0.02,10,2.186878889,34.4904644
1,35,3.18,20.048,0.02,10,2.198016667,34.49397851
1,35,3.17,20.018,0.02,10,2.209137778,34.50052987
1,35,3.17,20.053,0.02,10,2.220278333,34.49587745
1,35,3.17,20.064,0.01,10,2.236998333,34.49865379
1,35,3.17,20.016,0.02,10,2.248118333,34.50498848
1,35,3.17,20.091,0.02,10,2.25928,34.50320093
1,35,3.17,20.011,0.01,10,2.270397222,34.50318604
1,35,3.17,20.046,0.01,10,2.281533889,34.50410615
1,35,3.17,20.004,0.02,10,2.292647222,34.50303842
1,35,3.17,20.057,0.01,10,2.30379,34.50798645
1,35,3.17,19.963,0.01,10,2.314880556,34.50560494
1,35,3.17,20.08,0.02,10,2.326036111,34.50773354
1,35,3.17,20.055,0.02,10,2.337177778,34.50306933
1,35,3.17,20.053,0.02,10,2.348318333,34.50659676
1,35,3.17,20.082,0.02,10,2.359475,34.50515291
1,35,3.17,20.016,0.01,10,2.376155,34.51256217
1,35,3.17,20.053,0.01,10,2.387295556,34.51150055
1,35,3.17,20.009,0.01,10,2.398411667,34.51157074
1,35,3.17,20.085,0.01,10,2.40957,34.51040534
1,35,3.17,20.117,0.01,10,2.420746111,34.51568985
1,35,3.17,20.004,0.01,10,2.431859444,34.51750794
1,35,3.17,20.082,0.02,10,2.443016111,34.52056847
1,35,3.17,20.02,0.01,10,2.454138333,34.52134362
1,35,3.17,20.018,0.01,10,2.465259444,34.52738076
1,35,3.17,20.018,0.02,10,2.481941111,34.52743223
1,35,3.17,20.078,0.02,10,2.493095556,34.52256051
1,35,3.17,20.043,0.01,10,2.504230556,34.52915533
1,35,3.17,20.066,0.01,10,2.515378333,34.52742234
1,35,3.17,19.972,0.02,10,2.526473889,34.53588601
1,35,3.17,20.014,0.02,10,2.537592778,34.53481864
1,35,3.17,19.954,0.02,10,2.548678333,34.53055
1,35,3.17,20.03,0.02,10,2.559806111,34.53037835
1,35,3.17,20.014,0.01,10,2.570925,34.53771896
1,35,3.17,20.018,0.01,10,2.582046111,34.52908401
1,35,3.17,20.066,0.02,10,2.593193889,34.53592643
1,35,3.17,20.011,0.01,10,2.609869722,34.5296589
1,35,3.17,20.066,0.01,10,2.6210175,34.53488848
1,35,3.17,20.023,0.01,10,2.632141389,34.54127426
1,35,3.17,20.075,0.02,10,2.643294167,34.5409935
1,35,3.17,19.952,0.01,10,2.654378611,34.52791289
1,35,3.17,20.011,0.02,10,2.665495833,34.54429244
1,35,3.17,20.085,0.02,10,2.676654167,34.54226646
1,35,3.17,20.046,0.02,10,2.687790833,34.53794595
1,35,3.17,20.043,0.01,10,2.698925833,34.54465217
1,35,3.17,20.032,0.02,10,2.710054722,34.54208983
1,35,3.17,20.053,0.02,10,2.721195278,34.54120331
1,35,3.17,20.004,0.02,10,2.737865278,34.53837203
1,35,3.17,20.078,0.01,10,2.749019722,34.54897462
1,35,3.17,20.066,0.01,10,2.7601675,34.54671708
1,35,3.17,20.03,0.01,10,2.771295278,34.54764976
1,35,3.17,19.998,0.02,10,2.782405278,34.54322128
1,35,3.17,20.053,0.01,10,2.793545833,34.55049515
1,35,3.17,20.004,0.02,10,2.804659167,34.54527625
1,35,3.17,20.014,0.01,10,2.815778056,34.55309259
1,35,3.17,20.043,0.02,10,2.826913056,34.55555915
1,35,3.17,20.004,0.02,10,2.838026389,34.55340309
1,35,3.17,20.078,0.02,10,2.854758056,34.55812493
1,35,3.17,19.984,0.02,10,2.865860278,34.55182687
1,35,3.17,20.034,0.01,10,2.876990278,34.5544857
1,35,3.17,19.968,0.01,10,2.888083611,34.55997734
1,35,3.17,20.08,0.02,10,2.899239167,34.55714684
1,35,3.17,20.043,0.02,10,2.910374167,34.5609913
1,35,3.17,20.018,0.02,10,2.921495278,34.56492502
1,35,3.17,20.036,0.02,10,2.932626389,34.56000098
1,35,3.17,20.032,0.01,10,2.943755278,34.56604958
1,35,3.17,20.055,0.01,10,2.954896944,34.56661833
1,35,3.17,20.039,0.02,10,2.966029722,34.56777459
1,35,3.17,20.085,0.01,10,2.982767222,34.57406161
1,35,3.17,20.089,0.02,10,2.993927778,34.57391853
1,35,3.17,20.098,0.02,10,3.005093333,34.57033119
1,35,3.17,20.064,0.02,10,3.01624,34.57716066
1,35,3.17,20.027,0.02,10,3.027366111,34.57583197
1,35,3.17,20.014,0.01,10,3.038485,34.57495537
1,35,3.17,20.055,0.01,10,3.049626667,34.57905656
1,35,3.17,20.048,0.02,10,3.060764444,34.58111229
